,Ano,População residente,Superfície em km2,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),"Ganho médio mensal dos trabalhadores por conta de outrem, €","Bancos, Caixas Económicas",Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6)
Olhão ,2019,44506,0,340.1,15.5,64.3,20.2,131,4699,10.6,436,460,0,-24,64,82,1,10,26655,52,19,15,7,7,2,6979,0,0,1,156,3,0,0,0,0,0,0,9,3,41,10775,1815,33,784,930,3,560,0,0,0,0,42.3,0,211.5,0,24
Oliveira de Azeméis ,2010,68925,0,0,14.1,69.3,16.6,118,762,1.1,0,556,0,-33,215,180,1,16,29904,111,50,37,7,9,3,12446,2,456,2,0,0,4.3,7035,27026,7,18,913,33,4,56,18707,1412,34,1195,2828,6,578,29575.5,32290.6,2715,49.6,22.3,5280,49,6,1
Oliveira de Azeméis ,2019,66062,0,410.1,11.3,67,21.7,191,843,1.3,459,620,0,-161,162,134,1,16,30406,25,41,29,8,8,4,8305,2,732,2,18,0,0,0,0,0,0,0,14,4,44,20210,1677,37,684,1205,3,758,0,0,0,0,21.1,0,41.8,0,7
Oliveira de Frades ,2010,10301,0,0,15.3,64.2,20.5,134,215,2.1,0,117,0,-34,43,21,0,3,5655,28,16,13,2,2,1,2199,0,0,1,0,0,15.7,1046,5676,29,55,1077,7,1,16,3129,350,40,275,298,5,194,8459.4,8167.6,-292,70.3,20.9,6201.1,20.5,5,1
Oliveira de Frades ,2019,9928,0,68.3,12.7,64.8,22.5,176,213,2.1,78,115,12.8,-37,37,18,0,3,5838,21,10,3,1,1,1,1317,0,0,1,29,0,0,0,0,0,0,0,5,2,12,2878,365,37,38,308,5,172,0,0,0,0,19.9,0,32.4,0,7
Oliveira do Bairro ,2010,22950,0,0,15.8,64.4,19.8,125,629,2.7,0,233,0,4,72,64,0,7,11262,79,15,14,3,4,2,4146,0,0,1,15,0,8.5,2599,8669,9,30,917,16,2,27,6085,554,34,501,900,6,270,19950.2,18992.4,-958,52.9,42.8,5539.7,55.5,3,2
Oliveira do Bairro ,2019,24111,0,276.1,14.1,65,20.9,149,778,3.2,212,226,0,-14,103,58,1,7,11533,26,16,9,2,3,2,3106,0,0,2,51,0,0,0,0,0,0,0,10,3,22,6061,639,32,436,466,3,268,0,0,0,0,27.3,0,55.2,0,3
Oliveira do Hospital ,2010,20993,0,0,13.7,63.2,23.1,169,439,2.1,0,287,0,-140,71,40,1,8,13688,41,30,22,4,5,2,4419,1,550,0,0,1,12.7,1761,5539,14,16,734,6,4,21,7147,715,43,1025,873,7,280,13726.4,14176.5,450,65.5,24.4,5408.4,29.4,6,2
Oliveira do Hospital ,2019,19292,0,82.3,11,62.7,26.4,241,669,3.5,137,248,7.3,-111,27,27,1,8,13879,13,22,12,4,5,2,2766,1,418,1,35,0,0,0,0,0,0,0,6,4,24,6881,783,45,258,567,5,247,0,0,0,0,16.8,0,55.8,0,18
Ourém ,2010,46071,0,0,15,63.9,21,140,1910,4.1,0,510,0,-142,170,81,0,18,29025,111,44,48,7,7,5,9759,0,0,3,59,1,9.5,5402,17024,6,17,890,33,5,64,11727,1317,33,622,1461,5,481,29788.8,30806.9,1018,61.7,31.9,3720.1,40.8,6,42
Ourém ,2019,44056,0,105.7,12,65.6,22.4,186,2170,4.9,333,598,0,-265,177,94,0,20,29739,61,28,25,7,7,5,7316,0,0,2,65,0,0,0,0,0,0,0,22,4,50,12142,1538,35,244,624,2,527,0,0,0,0,24.4,0,52.8,0,90
Ourique ,2010,5460,0,0,10.6,58,31.4,296,188,3.4,0,115,0,-73,15,8,0,5,4160,10,7,6,1,1,1,633,0,0,0,0,1,5.4,593,1132,10,21,730,2,1,6,2342,280,54,360,350,11,286,7925.2,8750.4,825,87.6,33.5,3415,43.8,3,0
Ourique ,2019,4630,0,7,9.6,60.1,30.3,314,319,6.9,40,125,25,-85,18,6,0,5,4221,1,5,3,1,1,1,568,0,0,0,3,1,0,0,0,0,0,0,2,1,6,1995,312,55,105,135,5,230,0,0,0,0,34.1,0,105.2,0,5
Ovar ,2010,55487,0,0,15.7,69.3,15.1,96,777,1.4,0,460,0,38,213,159,1,15,27672,81,42,33,5,9,5,10387,0,0,2,0,1,9.9,5564,18716,16,21,903,21,4,63,13523,1614,32,2256,3807,10,447,32494,35026.7,2533,36.8,36,5493.1,57.9,14,4
Ovar ,2019,54190,0,366.9,12.6,67.6,19.8,157,862,1.6,431,470,2.3,-39,155,117,1,16,28327,37,33,21,5,8,4,7347,0,0,3,135,1,0,0,0,0,0,0,14,4,56,15212,1971,36,1360,1858,5,405,0,0,0,0,25.9,0,65,0,15
Paços de Ferreira ,2010,56273,0,0,18.5,71.1,10.4,56,256,0.5,0,342,0,278,254,137,0,9,21196,153,31,34,4,6,3,11463,0,0,2,0,5,10.6,5260,22174,10,20,691,25,2,48,9365,821,22,4594,3602,9,520,32167.1,32799.6,633,71.5,29.7,3789.7,25.1,2,1
Paços de Ferreira ,2019,56719,0,799,14.1,71.4,14.5,103,310,0.5,460,388,6.5,72,253,103,0,11,21869,73,21,16,6,9,5,9240,0,0,2,0,5,0,0,0,0,0,0,12,3,47,11448,999,25,1644,1835,5,456,0,0,0,0,21.2,0,33.6,0,5
Palmela ,2010,62395,0,0,17.5,66,16.5,95,2117,3.4,0,530,0,169,268,184,0,15,33008,99,34,31,8,8,4,11816,0,0,1,406,0,13.7,6219,26121,22,50,1269,21,4,65,14605,2132,32,1997,2928,7,1001,40693.7,36972.2,-3721,26.6,49.9,7384.9,56.5,8,7
Palmela ,2019,64242,0,138.1,15.2,65.4,19.4,128,2669,4.2,574,721,1.7,-147,243,140,0,15,33794,71,30,25,7,7,5,10537,0,0,1,174,0,0,0,0,0,0,0,16,4,55,16342,2841,35,781,1372,3,914,0,0,0,0,34.9,0,328.1,0,18
Pampilhosa da Serra ,2010,4548,0,0,7.8,51.9,40.2,514,16,0.4,0,111,0,-94,7,6,0,2,5651,6,3,2,1,1,1,294,0,0,0,0,0,4.9,273,520,9,69,755,3,1,8,2139,222,57,147,92,4,152,11092.8,10287.4,-805,91.4,19.6,2744.1,29.5,0,0
Pampilhosa da Serra ,2019,4045,0,10.2,7.3,54,38.7,531,37,0.9,9,90,0,-81,6,3,0,2,5689,4,3,2,1,1,1,286,0,0,1,1,0,0,0,0,0,0,0,2,1,8,1764,233,53,71,103,5,198,0,0,0,0,21.3,0,43,0,6
Paredes ,2010,86843,0,0,18.4,70.6,10.9,59,422,0.5,0,576,0,388,351,198,1,15,34220,163,57,56,7,10,6,17808,2,2320,0,0,0,8.7,7346,24243,3,9,784,41,4,81,15155,1495,23,7994,5720,9,1004,39141.8,42924.4,3783,68.6,28.3,2978.6,44.2,7,3
Paredes ,2019,86070,0,549.1,14.4,70.5,15.1,104,631,0.7,691,655,7.2,36,226,183,1,16,35366,85,33,17,8,10,7,12509,2,1959,0,38,0,0,0,0,0,0,0,26,4,59,17147,1829,26,2789,3164,5,557,0,0,0,0,20.4,0,30.6,0,9
Paredes de Coura ,2010,9240,0,0,12.5,61.1,26.4,212,88,1,0,115,0,-57,43,15,0,3,6051,43,12,1,1,1,2,1313,0,0,1,0,2,11.8,722,1456,13,31,731,4,1,6,3057,356,42,255,437,8,172,10955.7,11383.3,428,82.7,36.4,2483.2,36.7,5,1
Paredes de Coura ,2019,8548,0,61.9,11.3,60.8,27.9,247,105,1.2,57,121,0,-64,22,26,0,3,6212,15,5,1,1,1,2,1036,0,0,1,20,1,0,0,0,0,0,0,3,1,5,2746,413,42,55,177,3,159,0,0,0,0,22.7,0,51.8,0,14
Pedrógão Grande ,2010,3965,0,0,11.4,55.1,33.5,293,182,4.6,0,90,0,-73,10,8,0,3,3651,11,4,3,1,2,1,681,0,0,0,0,0,4.3,401,902,16,40,781,2,1,4,1802,199,57,145,183,8,117,5409.9,5653,243,78.2,25.7,7703.5,48.9,2,1
Pedrógão Grande ,2019,3420,0,26.6,9.8,60.3,30,306,416,12.2,15,74,0,-59,6,10,0,1,3710,24,3,2,1,1,1,491,0,0,0,2,0,0,0,0,0,0,0,2,1,5,1496,206,55,95,98,5,124,0,0,0,0,35.7,0,57.9,0,4
Penacova ,2010,15375,0,0,12.5,64.1,23.3,186,136,0.9,0,186,0,-92,43,25,1,7,8335,30,10,10,2,3,2,1929,0,0,0,0,0,14.4,1596,3087,6,16,811,5,2,13,4654,594,39,415,527,5,156,11715.8,12110.8,395,75.9,18.4,2678.9,43.3,3,2
Penacova ,2019,13753,0,63.5,9.8,61.5,28.7,293,243,1.8,56,190,0,-134,32,23,0,7,8498,28,9,6,2,3,2,1476,0,0,1,2,0,0,0,0,0,0,0,4,2,9,4665,665,43,135,230,3,197,0,0,0,0,14.3,0,49.8,0,5
Penafiel ,2010,72425,0,0,17.9,69.8,12.2,68,392,0.5,0,491,0,255,335,214,1,16,30007,255,57,62,5,7,3,15771,0,0,1,30,3,8.3,5479,22366,5,11,818,22,6,67,13863,1992,27,4572,3869,8,711,34868.7,36179.1,1310,67.6,25.1,3017.7,39.5,8,7
Penafiel ,2019,69847,0,329.1,13.9,70,16.1,116,461,0.7,548,569,0,-21,244,125,1,15,31197,87,45,37,5,8,4,11552,1,205,1,16,3,0,0,0,0,0,0,12,6,61,15505,2377,30,2296,2280,5,617,0,0,0,0,21.7,0,35.9,0,19
Penalva do Castelo ,2010,8034,0,0,13,60.1,26.9,206,35,0.4,0,132,0,-84,45,15,0,2,5439,16,9,5,2,2,1,1166,0,0,0,0,0,13.1,506,1297,24,36,772,2,1,3,2792,270,44,384,455,9,120,6582,7905.2,1323,83.3,15.1,2139.1,18.8,4,2
Penalva do Castelo ,2019,7145,0,53.2,10,60.1,30,301,51,0.7,28,108,0,-80,32,8,0,2,5555,19,5,4,1,1,1,837,0,0,0,53,0,0,0,0,0,0,0,2,1,3,2493,317,44,189,218,5,108,0,0,0,0,18.5,0,37.5,0,3
Penamacor ,2010,5786,0,0,8.2,49.1,42.7,523,54,0.9,0,141,0,-120,12,6,0,5,6516,9,8,2,1,1,1,1031,0,0,1,0,0,5.2,436,846,16,54,717,2,2,4,2729,500,61,169,153,5,112,9559.9,9798.1,238,84.8,30.2,2788.5,38.4,4,0
Penamacor ,2019,4793,0,8.5,6.2,54.4,39.4,631,308,6.4,13,121,0,-108,2,6,0,6,6553,0,2,2,1,1,1,363,0,0,1,1,0,0,0,0,0,0,0,1,2,4,1921,493,54,101,156,6,100,0,0,0,0,33,0,45.9,0,6
Penedono ,2010,2995,0,0,13,59.9,27,207,7,0.2,0,49,0,-38,25,5,0,1,2628,15,2,1,1,1,0,424,0,0,0,0,0,13.7,261,430,10,29,739,2,1,3,943,149,42,283,113,6,89,5108,5585.7,478,87.4,26.4,2366.5,38.4,3,1
Penedono ,2019,2601,0,19.4,9.4,63.2,27.3,290,22,0.8,12,43,0,-31,7,4,0,1,2670,2,2,1,1,1,0,240,0,0,0,4,0,0,0,0,0,0,0,2,1,3,789,155,40,58,92,6,88,0,0,0,0,21.1,0,58.5,0,3
Penela ,2010,6023,0,0,12.9,58.7,28.4,220,156,2.6,0,94,0,-46,12,6,0,2,4699,13,6,6,1,2,1,701,0,0,1,0,0,13.5,569,1506,20,37,772,2,2,8,2355,302,51,184,173,5,112,7619.8,7175.9,-444,78.5,25.6,2916.8,42.3,6,0
Penela ,2019,5418,0,40.2,10.6,59.4,30,284,307,5.7,21,91,0,-70,27,7,0,2,4798,3,3,3,1,1,1,455,0,0,1,2,0,0,0,0,0,0,0,1,1,6,2038,318,49,59,93,3,120,0,0,0,0,28.8,0,48.2,0,7
Peniche ,2010,27814,0,0,15.3,65.7,19,125,915,3.3,0,335,0,-52,116,84,1,7,21042,68,17,20,3,4,1,5018,1,1229,1,0,0,13.7,3023,8234,14,18,846,13,4,35,8006,1070,39,828,1518,8,459,15567.8,16283.9,716,39.7,41.8,3972.3,59.9,11,8
Peniche ,2019,26494,0,341.6,14.1,63,22.9,162,1231,4.6,241,351,0,-110,94,39,1,7,21722,30,14,15,3,4,2,3904,1,1373,2,96,0,0,0,0,0,0,0,8,4,33,8300,1298,42,302,717,4,406,0,0,0,0,33.3,0,203.3,0,63
Peso da Régua ,2010,17263,0,0,13.9,67.3,18.8,136,146,0.8,0,191,0,-53,73,62,1,8,9213,13,11,13,2,4,2,3976,0,0,1,0,0,1.2,1493,3663,6,18,880,11,2,21,5186,903,41,1406,1144,10,311,18911.2,16748.8,-2162,74.4,34.4,2789.6,18.8,2,4
Peso da Régua ,2019,15802,0,166.6,10.9,66.1,23,212,96,0.6,109,176,0,-67,67,34,0,7,9368,9,8,2,1,2,2,2444,0,0,1,2,1,0,0,0,0,0,0,7,1,17,4797,958,41,1036,1058,10,274,0,0,0,0,17.7,0,55.4,0,13
Pinhel ,2010,9726,0,0,11,57.9,31.1,283,73,0.8,0,150,0,-102,23,18,0,5,8111,13,12,4,1,1,1,1197,0,0,0,0,0,5,936,1836,8,23,737,3,3,7,4113,477,54,444,401,7,139,11453.6,11407.9,-46,82,18.4,2604.1,20.4,5,1
Pinhel ,2019,8559,0,17.7,8.7,57.1,34.2,392,70,0.8,28,142,0,-114,22,5,0,5,8239,3,4,6,1,1,1,807,0,0,0,70,0,0,0,0,0,0,0,2,3,6,3508,517,52,145,159,3,166,0,0,0,0,35.9,0,33.3,0,6
Pombal ,2010,55469,0,0,14.4,63.2,22.5,157,1652,3,0,676,0,-239,156,124,1,20,34017,112,42,49,7,8,6,11249,0,0,2,78,0,11.3,6503,19402,5,8,893,27,17,76,16127,1372,37,1202,1666,5,382,37115.3,38476.6,1361,54.5,29,5010.5,60.6,4,5
Pombal ,2019,51573,0,82.4,11.8,63.5,24.8,211,1799,3.5,354,711,0,-357,137,89,1,21,34951,66,34,29,7,9,6,7608,0,0,2,18,1,0,0,0,0,0,0,15,14,60,15693,1630,38,736,980,3,459,0,0,0,0,26,0,81.1,0,10
Ponta Delgada ,2010,68737,0,0,18.9,70.2,10.9,58,1240,1.8,0,584,0,208,367,211,4,19,28227,63,47,36,5,8,10,15953,1,2742,1,106,4,14.3,7066,26307,15,23,0,49,5,137,11577,4077,28,6774,1593,3,640,34995.8,33855.7,-1140,49.5,55.7,3558.7,43,13,29
Ponta Delgada ,2019,67900,0,291.4,15.9,70.6,13.5,85,1086,1.6,623,572,3.2,51,325,203,4,17,29207,91,39,35,7,7,11,13719,5,2396,2,77,4,0,0,0,0,0,0,30,5,118,11996,4552,29,6512,0,0,730,0,0,0,0,42,0,183.2,0,104
Ponta do Sol ,2010,8840,0,0,19,64,17,90,85,1,0,97,0,-9,38,27,0,2,4666,33,9,7,1,1,1,1662,0,0,0,0,0,6.9,540,1370,11,22,781,6,0,9,2447,168,36,374,410,7,87,6002.6,6838.8,836,70.6,21.3,2431.1,29.6,10,3
Ponta do Sol ,2019,8569,0,185.4,12.7,71.1,16.1,127,379,4.4,62,90,0,-28,40,17,0,2,4812,11,7,6,1,1,1,1379,0,0,0,156,1,0,0,0,0,0,0,2,0,6,2240,238,33,200,0,0,71,0,0,0,0,13,0,61.6,0,8
Ponte da Barca ,2010,12149,0,0,13.4,63.1,23.5,176,76,0.6,0,150,0,-79,59,31,0,3,7944,21,8,12,1,2,2,1871,0,0,0,0,0,2.4,990,2247,8,31,790,5,1,8,3904,381,41,482,567,7,265,13544.6,13994.6,450,77.6,52.2,2478.4,38.2,2,4
Ponte da Barca ,2019,11195,0,61.5,10.5,64.7,24.8,236,97,0.9,64,159,15.6,-95,46,21,0,3,8218,12,4,3,1,2,2,1390,0,0,1,0,0,0,0,0,0,0,0,4,1,9,3662,417,41,127,251,3,242,0,0,0,0,23.8,0,40,0,23
Ponte de Lima ,2010,43677,0,0,15.7,65.1,19.2,122,247,0.6,0,434,0,-62,196,62,1,9,21829,198,29,19,4,6,3,8322,3,683,2,0,0,9.6,3638,10649,8,34,763,17,4,36,11738,1077,35,1312,1933,7,596,29258.2,29393.5,135,66.5,33,2511.1,34.7,7,3
Ponte de Lima ,2019,41407,0,129.3,12.2,65.8,21.9,179,383,0.9,287,472,0,-185,177,64,1,10,22772,73,19,14,4,7,4,5978,3,535,1,226,0,0,0,0,0,0,0,8,3,31,11795,1313,36,334,617,2,572,0,0,0,0,22,0,53.6,0,69
Ponte de Sor ,2010,16846,0,0,13,61.9,25.2,194,260,1.5,0,231,0,-121,36,37,0,7,10271,21,11,10,2,3,1,3080,0,0,0,0,0,16.3,1601,3417,8,20,888,6,4,23,6508,735,50,908,1345,13,290,18736,17853.6,-882,71.3,34.5,3630.7,75,4,1
Ponte de Sor ,2019,15043,0,17.9,11.4,61.9,26.7,235,367,2.4,114,238,8.8,-124,40,28,0,7,10422,15,11,10,2,2,1,2077,0,0,0,26,0,0,0,0,0,0,0,4,4,24,6149,826,52,354,420,5,286,0,0,0,0,29.6,0,67,0,6
Portalegre ,2010,25060,0,0,13.2,63.4,23.4,177,587,2.3,0,336,0,-132,81,81,1,12,14727,22,21,14,2,3,3,5510,3,2313,2,193,0,12.9,2600,5861,9,31,941,12,2,49,8979,2438,53,1011,1244,8,428,19119.8,20400.5,1281,59.9,21.9,4887.4,144.5,5,3
Portalegre ,2019,22266,0,49.8,12.4,60.5,27.2,219,550,2.5,173,366,0,-193,62,58,1,14,14819,8,17,10,2,3,3,4086,3,1737,3,89,1,0,0,0,0,0,0,9,1,41,8069,2625,55,394,587,4,339,0,0,0,0,24,0,99.8,0,19
Portel ,2010,6488,0,0,12.7,60.6,26.7,209,86,1.3,0,100,0,-61,12,11,0,4,4252,12,9,8,1,1,1,737,0,0,0,0,1,11.7,569,1206,21,32,793,2,2,10,2579,245,50,306,402,10,255,9464.4,10091.1,627,87.2,16.5,3778.2,126.6,3,0
Portel ,2019,5849,0,9.7,11.4,61,27.6,242,138,2.4,39,102,0,-63,11,3,0,6,4290,5,7,4,1,1,1,542,0,0,0,1,1,0,0,0,0,0,0,1,2,9,2296,280,50,130,176,5,245,0,0,0,0,21.4,0,103.6,0,6
Portimão ,2010,55128,0,0,17,66,17,100,9815,17.8,0,529,0,134,185,212,2,12,46830,86,25,16,6,7,4,11309,2,1430,2,150,8,25.7,7685,18887,5,16,939,33,4,90,13116,2536,34,4037,4036,11,947,41183,43664,2481,21.7,59.2,4532.2,274.6,2,48
Portimão ,2019,55450,0,304.6,16.4,63.5,20.1,123,10189,18.4,630,657,4.8,-27,135,119,4,12,47650,18,22,13,7,9,5,11037,2,674,1,104,8,0,0,0,0,0,0,21,3,71,14683,2942,38,1518,2225,6,878,0,0,0,0,45.2,0,305.6,0,102
Porto ,2010,239650,0,0,12.2,64.7,23,188,8329,3.5,0,2916,0,-961,1102,650,24,113,137215,93,162,95,44,57,54,68365,42,57461,15,1944,13,8.7,37821,134218,12,21,1280,292,3,585,79749,20547,48,28990,15461,10,2725,183176.9,185231.9,2055,19.6,69.9,5891.2,113,17,95
Porto ,2019,215945,0,5213.5,13,58.6,28.4,219,14492,6.7,1976,2993,3,-1017,1121,484,20,110,139253,57,134,83,39,52,52,55148,39,60562,18,3217,13,0,0,0,0,0,0,204,4,448,72423,20452,49,16709,10463,8,3049,0,0,0,0,71.4,0,152.2,0,373
Porto de Mós ,2010,24383,0,0,15.4,64.8,19.8,129,817,3.4,0,228,0,-12,58,58,0,9,13017,31,23,20,3,3,3,4468,0,0,1,0,0,11.9,2879,8594,8,21,931,15,4,32,7731,647,41,747,870,6,340,17915.8,17420.5,-495,62.9,33.9,5407.3,43.4,6,2
Porto de Mós ,2019,23282,0,88.9,12.4,64.6,23,185,757,3.3,189,270,0,-81,52,34,0,9,13208,26,19,16,3,3,3,3242,0,0,2,63,0,0,0,0,0,0,0,10,4,25,7609,774,41,244,402,3,299,0,0,0,0,28.5,0,36.6,0,11
Porto Moniz ,2010,2741,0,0,13.3,62.7,24,180,19,0.7,0,64,0,-44,19,5,0,1,1948,1,2,2,1,1,1,383,0,0,1,0,0,2.4,163,385,19,37,784,3,0,6,1042,107,49,82,104,6,67,6437.5,6435.3,-2,92.2,31.4,5019.9,63.5,2,6
Porto Moniz ,2019,2346,0,28.3,10.8,64.2,25,231,83,3.5,11,43,0,-32,3,4,0,1,1960,2,1,1,1,1,1,285,0,0,0,11,0,0,0,0,0,0,0,2,0,5,952,130,52,19,0,0,80,0,0,0,0,18.8,0,72.9,0,15
Porto Santo ,2010,5437,0,0,15.7,72.8,11.5,73,423,7.8,0,39,0,30,28,16,0,1,4469,45,5,4,1,1,1,941,0,0,0,58,0,16,538,1161,15,24,1052,4,0,11,965,388,29,82,337,9,85,4790.9,4810.8,20,45.8,22.8,6022.5,110.4,23,13
Porto Santo ,2019,5189,0,120.6,13,73.5,13.4,103,336,6.5,32,46,0,-14,28,8,0,1,4542,9,2,2,1,1,1,794,0,0,1,40,0,0,0,0,0,0,0,4,0,8,1203,450,36,32,0,0,107,0,0,0,0,31.8,0,708.8,0,20
Póvoa de Lanhoso ,2010,21969,0,0,16.7,67.1,16.3,98,147,0.7,0,156,0,43,135,30,1,5,11728,53,23,23,2,4,2,4619,1,1056,1,0,0,12,1876,5781,10,25,739,11,1,21,5340,388,31,922,1178,8,200,15008.1,14644.6,-363,72.9,31.8,2687.4,37.1,5,2
Póvoa de Lanhoso ,2019,21473,0,159.5,12.3,68.8,18.9,154,228,1.1,143,217,0,-74,59,44,1,5,11978,25,11,5,2,3,2,3164,0,0,1,1,0,0,0,0,0,0,0,7,1,20,5349,476,31,271,785,5,204,0,0,0,0,22.6,0,92.5,0,13
Póvoa de Varzim ,2010,63579,0,0,17,69.3,13.7,80,957,1.5,0,465,0,223,324,221,2,15,34877,100,37,28,6,8,4,13214,0,0,1,0,0,11.3,7066,21595,8,21,885,32,5,81,13424,2286,30,3601,4314,10,766,44164,46127.7,1964,28.9,29,3103.6,104.3,11,13
Póvoa de Varzim ,2019,62647,0,762,13.9,67.4,18.7,134,1669,2.7,519,546,5.8,-27,350,123,3,14,35836,56,35,22,6,8,4,10863,0,0,1,178,1,0,0,0,0,0,0,17,6,66,15590,2515,33,1163,2093,5,676,0,0,0,0,30.6,0,137.2,0,22
Povoação ,2010,6361,0,0,18.3,67,14.6,80,32,0.5,0,80,0,-29,30,29,0,2,3603,15,8,7,2,2,2,1317,0,0,0,0,0,3.8,568,1131,22,27,0,4,1,10,1224,227,28,1172,299,7,112,5653.1,6726.1,1073,85.9,28.9,2368.3,1.4,2,4
Povoação ,2019,5941,0,55.8,13.8,70,16.2,117,85,1.4,35,55,0,-20,15,13,0,2,3669,8,8,7,2,2,2,1039,0,0,0,0,0,0,0,0,0,0,0,3,1,11,1082,288,27,753,0,0,101,0,0,0,0,24.6,0,51,0,17
Proença-a-Nova ,2010,8415,0,0,10.2,57.9,31.9,314,100,1.2,0,165,0,-110,31,11,0,2,6264,22,7,2,2,2,2,997,0,0,1,0,1,6.5,739,1790,11,26,730,4,1,8,3801,416,56,66,258,5,156,12057.2,11065.8,-991,80.1,15.1,2606.3,4.2,6,1
Proença-a-Nova ,2019,7344,0,18.6,8.2,59.7,32,389,179,2.4,17,148,0,-131,9,8,0,2,6351,4,3,2,1,1,1,689,0,0,1,19,1,0,0,0,0,0,0,4,1,6,3117,455,53,59,164,4,150,0,0,0,0,25.5,0,51.9,0,5
Redondo ,2010,7072,0,0,13.4,61.9,24.7,185,179,2.5,0,99,0,-45,16,15,0,3,4544,21,5,5,1,1,1,1062,0,0,2,0,1,16.5,753,1598,12,33,772,3,2,8,2463,309,45,510,405,9,266,9867.3,10539.5,672,75.7,27.6,3418.7,66.3,3,1
Redondo ,2019,6370,0,17.2,12,62.7,25.3,211,208,3.3,47,90,0,-43,18,7,0,3,4640,7,3,2,1,1,1,757,0,0,2,18,1,0,0,0,0,0,0,2,1,7,2305,341,47,169,197,5,260,0,0,0,0,22.3,0,47.1,0,6
Reguengos de Monsaraz ,2010,10880,0,0,14.3,61.7,24,168,248,2.3,0,161,0,-61,34,27,0,5,6376,46,9,8,1,2,1,2213,0,0,0,0,1,14,1491,2950,14,44,894,4,2,12,4112,568,50,794,661,10,268,10801.4,12174.2,1373,62.8,15.7,3430.4,77.4,4,3
Reguengos de Monsaraz ,2019,10026,0,21.6,12.5,62.6,24.9,199,341,3.4,81,140,12.3,-59,25,25,0,5,6486,16,8,6,1,2,1,1665,0,0,1,2,1,0,0,0,0,0,0,3,4,12,3649,638,49,465,391,6,289,0,0,0,0,22.9,0,93.3,0,22
Resende ,2010,11467,0,0,15.5,62.9,21.6,139,44,0.4,0,152,0,-64,41,20,0,4,7415,24,11,15,1,3,2,2074,0,0,0,0,0,12.8,872,1873,12,26,733,4,1,9,3614,343,41,1631,777,11,284,11916.9,11983.4,67,80.6,23.4,1868.7,36.8,2,2
Resende ,2019,10189,0,82.6,11.7,65.1,23.2,199,52,0.5,52,140,0,-88,42,21,0,3,7552,4,3,3,1,1,1,1413,0,0,0,19,0,0,0,0,0,0,0,3,1,9,3104,376,39,656,564,9,284,0,0,0,0,28.5,0,31.3,0,12
Ribeira Brava ,2010,13384,0,0,19,65.9,15.2,80,131,1,0,151,0,-49,75,27,0,3,6799,31,12,9,2,2,1,3037,0,0,1,38,0,6.7,751,1996,8,29,772,8,0,13,3851,300,38,365,632,7,107,7543.6,8581.2,1038,75.8,33.6,2450.7,36.8,3,5
Ribeira Brava ,2019,12423,0,189.8,13.5,69.2,17.3,128,386,3.1,102,142,0,-40,34,32,0,4,6896,3,6,6,2,2,1,2090,0,0,1,58,0,0,0,0,0,0,0,5,0,13,3779,369,38,266,0,0,104,0,0,0,0,25.9,0,98.4,0,12
Ribeira de Pena ,2010,6622,0,0,13.4,61.1,25.6,191,9,0.1,0,103,0,-56,30,8,0,2,4910,19,7,5,2,2,1,1118,0,0,0,0,0,5.5,472,1040,23,49,830,4,1,6,2115,387,44,424,399,10,206,11327.8,11094.6,-233,61.7,40.5,2228.7,40.2,2,1
Ribeira de Pena ,2019,6024,0,27.7,10.5,62.2,27.3,259,86,1.4,36,89,27.8,-53,19,7,0,2,4991,5,4,2,2,2,1,735,0,0,0,1,0,0,0,0,0,0,0,2,2,6,1866,362,41,221,287,8,183,0,0,0,0,26.7,0,54.6,0,3
